"UID","Xsugg","Ysugg","Type"
"9315-1505-V-7",709311.90,3971503.20,"vacuum"
"6575-2825-V-5",706575.50,3972825.40,"vacuum"
"7995-2195-V-3",707992.00,3972190.70,"vacuum"
"6755-1485-V-3",706754.70,3971481.40,"vacuum"
"7785-1915-V-14",707787.70,3971917.80,"vacuum"
"7785-1915-V-15",707786.70,3971916.40,"vacuum"
"7785-1915-V-16",707789.40,3971919.00,"vacuum"
"7785-1915-V-17",707788.80,3971911.10,"vacuum"
"7785-2145-V-20",707785.40,3972143.30,"vacuum"
"7785-2145-V-21",707789.20,3972148.70,"vacuum"
"7785-2145-V-24",707784.80,3972142.40,"vacuum"
"6555-2855-S-1",706550.60,3972854.20,"square"
"9215-0585-S-1",709217.80,3970581.10,"square"
"9245-0585-V-1",709243.50,3970582.80,"vacuum"
"9305-1525-V-4",709303.50,3971528.00,"vacuum"
"6635-2865-V-10",706636.70,3972862.80,"vacuum"
"6645-2905-V-1",706647.90,3972907.30,"vacuum"
"6655-2865-V-3",706653.00,3972865.10,"vacuum"
"8405-2065-V-1",708403.00,3972068.00,"vacuum"
"8425-2065-V-8",708424.40,3972065.60,"vacuum"
"6755-1465-V-6",706750.40,3971467.40,"vacuum"
"9575-0085-V-41",709579.50,3970080.80,"vacuum"
"9575-0085-V-42",709576.20,3970085.30,"vacuum"
"9575-0085-V-43",709572.40,3970082.80,"vacuum"
"7825-1575-S-1",707826.20,3971572.60,"square"
"9055-0735-V-3",709055.60,3970732.10,"vacuum"
"12171-51-1-35-7",709576.10,3970088.70,"tract"
"8183-20-1-15-1",709396.80,3970950.70,"tract"
"8995-3085-V-3",708996.00,3973085.10,"vacuum"
"7785-2145-V-34",707783.30,3972149.70,"vacuum"
"8985-3095-V-4",708985.10,3973097.30,"vacuum"
"8985-3105-V-5",708981.00,3973101.30,"vacuum"
"8055-2075-S-1",708055.80,3972079.30,"square"
"9305-1525-V-2",709302.20,3971525.90,"vacuum"
"9325-1525-V-5",709324.50,3971526.00,"vacuum"
"6795-2255-V-8",706796.10,3972256.70,"vacuum"
"9035-0785-V-1",709033.00,3970782.20,"vacuum"
"7785-2135-V-69",707788.50,3972139.80,"vacuum"
"7785-2135-V-70",707787.70,3972138.60,"vacuum"
